designation,base_unit,area_sq,depth,flange_width,thick,web_thick,axis_xx_ix,axis_xx_sx,axis_xx_rx,axis_yy_iy,axis_yy_sy,axis_yy_ry,x,y,r_z
W36 X 300,inch,88.3,36.74,16.655,1.68,0.945,20300,1110,15.2,1300,156,3.83,,,
W36 X 135,inch,39.7,35.55,11.95,0.79,0.6,7800,439,14,225,37.7,2.38,,,
W33 X 201,inch,59.1,33.68,15.745,1.15,0.715,11500,684,14,749,95.2,3.56,,,
W33 X 118,inch,34.7,32.86,11.48,0.74,0.55,5900,359,13,187,32.6,2.32,,,
W30 X 173,inch,50.8,30.44,14.985,1.065,0.655,8200,539,12.7,598,79.8,3.43,,,
W30 X 99,inch,29.1,29.65,10.45,0.67,0.52,3990,269,11.7,128,24.5,2.1,,,
W27 X 146,inch,42.9,27.38,13.965,0.975,0.605,5630,411,11.4,443,63.5,3.21,,,
W27 X 84,inch,24.8,26.71,9.96,0.64,0.46,2850,213,10.7,106,21.2,2.07,,,
W24 X 104,inch,30.6,24.06,12.75,0.75,0.5,3100,258,10.1,259,40.7,2.91,,,
W24 X 68,inch,20.1,23.73,8.965,0.585,0.415,1830,154,9.55,70.4,15.7,1.87,,,
W21 X 101,inch,29.8,21.36,12.29,0.8,0.5,2420,227,9.02,248,40.3,2.89,,,
W21 X 62,inch,18.3,20.99,8.24,0.615,0.4,1330,127,8.54,57.5,13.9,1.77,,,
W21 X 44,inch,13,20.66,6.5,0.45,0.35,843,81.6,8.06,20.7,6.36,1.26,,,
W18 X 106,inch,31.1,18.73,11.2,0.94,0.59,1910,204,7.84,220,39.4,2.66,,,
W18 X 76,inch,22.3,18.21,11.035,0.68,0.425,1330,146,7.73,152,27.6,2.61,,,
W18 X 50,inch,14.7,17.99,7.495,0.57,0.355,800,88.9,7.38,40.1,10.7,1.65,,,
W18 X 35,inch,10.3,17.7,6,0.425,0.3,510,57.6,7.04,15.3,5.12,1.22,,,
W16 X 77,inch,22.6,16.52,10.295,0.76,0.455,1110,134,7,138,26.9,2.47,,,
W16 X 57,inch,16.8,16.43,7.12,0.715,0.43,758,92.2,6.72,43.1,12.1,1.6,,,
W16 X 40,inch,11.8,16.01,6.995,0.505,0.305,518,64.7,6.63,28.9,8.25,1.57,,,
W16 X 31,inch,9.12,15.88,5.525,0.44,0.275,375,47.2,6.41,12.4,4.49,1.17,,,
W16 X 26,inch,7.68,15.69,5.5,0.345,0.25,301,38.4,6.26,9.59,3.49,1.12,,,
W14 X 370,inch,109,17.92,16.475,2.66,1.655,5440,607,7.07,1990,241,4.27,,,
W14 X 145,inch,42.7,14.78,15.5,1.09,0.68,1710,232,6.33,677,87.3,3.98,,,
W14 X 83,inch,24.1,14.31,10.13,0.855,0.51,882,123,6.05,148,29.3,2.48,,,
W14 X 68,inch,20,14.04,10.035,0.72,0.415,723,103,6.01,121,24.2,2.46,,,
W14 X 53,inch,15.6,13.92,8.06,0.66,0.37,541,77.8,5.89,57.7,14.3,1.92,,,
W14 X 43,inch,12.6,13.66,7.995,0.53,0.305,428,62.7,5.82,45.2,11.3,1.89,,,
W14 X 38,inch,11.2,14.1,6.77,0.515,0.31,385,54.6,8.87,26.7,7.88,1.55,,,
W14 X 30,inch,8.85,13.84,6.73,0.385,0.27,291,42,5.73,19.6,5.82,1.49,,,
W14 X 26,inch,7.69,13.91,5.025,0.42,0.255,245,35.3,5.65,8.91,3.54,1.08,,,
W14 X 22,inch,6.49,13.74,5,0.335,0.23,199,29,5.54,7,2.8,1.04,,,
W12 X 96,inch,28.2,12.71,12.16,0.9,0.55,833,131,5.44,270,44.4,3.09,,,
W12 X 72,inch,21.1,12.25,12.04,0.67,0.43,597,97.4,5.31,195,32.4,3.04,,,
W12 X 50,inch,14.7,12.19,8.08,0.64,0.37,394,64.7,5.18,56.3,13.9,1.96,,,
W12 X 40,inch,11.8,11.94,8.005,0.515,0.295,310,51.9,5.13,44.1,11,1.93,,,
W12 X 35,inch,10.3,12.5,6.56,0.52,0.3,285,45.6,5.25,24.5,7.47,1.54,,,
W12 X 30,inch,8.79,12.34,6.52,0.44,0.26,238,38.6,5.21,20.3,6.24,1.52,,,
W12 X 26,inch,7.65,12.22,6.49,0.38,0.23,204,33.4,5.17,17.3,5.34,1.51,,,
W12 X 22,inch,6.48,12.31,4.03,0.425,0.26,156,25.4,4.91,4.66,2.31,0.847,,,
W12 X 16,inch,4.71,11.99,3.99,0.265,0.22,103,17.1,4.67,2.82,1.41,0.773,,,
W10 X 112,inch,32.9,11.36,10.415,1.25,0.755,716,126,4.66,236,45.3,2.68,,,
W10 X 68,inch,20,10.4,10.13,0.77,0.47,394,75.7,4.44,134,26.4,2.59,,,
W10 X 54,inch,15.8,10.09,10.03,0.615,0.37,303,60,4.37,103,20.6,2.56,,,
W10 X 45,inch,13.3,10.1,8.02,0.62,0.35,248,49.1,4.32,53.4,13.3,2.01,,,
W10 X 39,inch,11.5,9.92,7.985,0.53,0.315,209,42.1,4.27,45,11.3,1.98,,,
W10 X 33,inch,9.71,9.73,7.96,0.435,0.29,170,35,4.19,36.6,9.2,1.94,,,
W10 X 30,inch,8.84,10.47,5.81,0.51,0.3,170,32.4,4.38,16.7,5.75,1.37,,,
W10 X 22,inch,6.49,10.17,5.75,0.36,0.24,118,23.2,4.27,11.4,3.97,1.33,,,
W10 X 19,inch,5.62,10.24,4.02,0.395,0.25,96.3,18.8,4.14,4.29,2.14,0.874,,,
W10 X 15,inch,4.41,9.99,4,0.27,0.23,68.9,13.8,3.95,2.89,1.45,0.81,,,
W8 X 58,inch,17.1,8.75,8.22,0.81,0.51,228,52,3.65,75.1,18.3,2.1,,,
W8 X 48,inch,14.1,8.5,8.11,0.685,0.4,184,43.3,3.61,60.9,15,2.08,,,
W8 X 40,inch,11.7,8.25,8.07,0.56,0.36,146,35.5,3.53,49.1,12.2,2.04,,,
W8 X 35,inch,10.3,8.12,8.02,0.495,0.31,127,31.2,3.51,42.6,10.6,2.03,,,
W8 X 31,inch,9.13,8,7.995,0.435,0.285,110,27.5,3.47,37.1,9.27,2.02,,,
W8 X 28,inch,8.5,8.06,6.535,0.465,0.285,98,24.3,3.45,21.7,6.63,1.62,,,
W8 X 24,inch,7.08,7.93,6.495,0.4,0.245,82.8,20.9,3.42,18.3,5.63,1.61,,,
W8 X 21,inch,6.16,8.28,5.27,0.4,0.25,75.3,18.2,3.49,9.77,3.71,1.26,,,
W8 X 18,inch,5.26,8.14,5.25,0.33,0.23,61.9,15.2,3.43,7.97,30.4,1.23,,,
W8 X 15,inch,4.44,8.11,4.015,0.315,0.245,48,11.8,3.29,3.41,1.7,0.876,,,
W8 X 13,inch,3.84,7.99,4,0.255,0.23,39.6,9.91,3.21,2.73,1.37,0.843,,,
W6 X 25,inch,7.34,6.38,6.08,0.455,0.32,53.4,16.7,2.7,17.1,5.61,1.52,,,
W6 X 20,inch,5.87,6.2,6.02,0.365,0.26,41.4,13.4,2.66,13.3,4.41,1.5,,,
W6 X 16,inch,4.74,6.28,4.03,0.405,0.26,32.1,10.2,2.6,4.43,2.2,0.966,,,
W6 X 12,inch,3.55,6.03,4,0.28,0.23,22.1,7.31,2.49,2.99,1.5,0.918,,,
W6 X 9,inch,2.68,5.9,3.94,0.215,0.17,16.4,5.56,2.47,2.19,1.11,0.905,,,
W5 X 19,inch,5.54,5.15,5.03,0.43,0.27,26.2,10.2,2.17,9.13,3.63,1.28,,,
W5 X 16,inch,4.68,5.01,5,0.36,0.24,21.3,8.51,2.13,7.51,3,1.27,,,
W4 X 13,inch,3.83,4.16,4.06,0.345,0.28,11.3,5.46,1.72,3.86,1.9,1,,,
S24 X 121,inch,35.6,24.5,8.05,1.09,0.8,3160,258,9.43,83.3,20.7,1.53,,,
S24 X 106,inch,31.2,24.5,7.87,1.09,0.52,2940,240,9.71,77.1,19.6,1.57,,,
S24 X 100,inch,29.3,24,7.245,0.87,0.745,2390,199,9.02,47.7,13.2,1.27,,,
S24 X 90,inch,26.5,24,7.125,0.87,0.625,2250,187,9.21,44.9,12.6,1.3,,,
S24 X 80,inch,23.5,24,7,0.87,0.5,2100,175,9.47,42.2,12.1,1.34,,,
S20 X 96,inch,28.2,20.3,7.2,0.92,0.8,1670,165,7.71,50.2,13.9,1.33,,,
S20 X 86,inch,25.3,20.3,7.06,0.92,0.66,1580,155,7.89,46.8,13.3,1.36,,,
S20 X 75,inch,22,20,6.385,0.795,0.635,1280,128,7.62,29.8,9.32,1.16,,,
S20 X 66,inch,19.4,20,6.255,0.795,0.505,1190,119,7.83,27.7,8.85,1.19,,,
S18 X 70,inch,20.6,18,6.251,0.691,0.711,926,103,6.71,24.1,7.72,1.08,,,
S18 X 54.7,inch,16.1,18,6.001,0.691,0.461,804,89.4,7.07,20.8,6.94,1.14,,,
S15 X 50,inch,14.7,15,5.64,0.622,0.55,486,64.8,5.75,15.7,5.57,1.03,,,
S15 X 42.9,inch,12.6,15,5.501,0.622,0.411,447,59.6,5.95,14.4,5.23,1.07,,,
S12 X 50,inch,14.7,12,5.466,0.659,0.687,305,50.8,4.55,15.7,5.74,1.03,,,
S12 X 40.8,inch,12,12,5.25,0.659,0.462,27,45.4,4.77,13.6,5.16,1.06,,,
S12 X 35,inch,10.3,12,5.078,0.544,0.428,229,38.2,4.72,9.87,3.89,0.98,,,
S12 X 31.8,inch,9.35,12,5,0.544,0.35,218,36.4,4.83,9.36,3.74,1,,,
S10 X 35,inch,10.3,10,4.944,0.491,0.594,147,29.4,3.78,8.36,3.38,0.901,,,
S10 X 25.4,inch,7.46,10,4.661,0.491,0.311,124,24.7,4.07,6.79,2.91,0.954,,,
S8 X 23,inch,6.77,8,4.171,0.425,0.441,64.9,16.2,3.1,4.31,2.07,0.798,,,
S8 X 18.4,inch,5.41,8,4.001,0.425,0.271,57.6,14.4,3.26,3.73,1.86,0.831,,,
S6 X 17.25,inch,5.07,6,3.565,0.359,0.465,26.3,8.77,2.28,2.31,1.3,0.675,,,
S6 X 12.5,inch,3.67,6,3.332,0.359,0.23,22.1,7.37,2.45,1.82,1.09,0.705,,,
S5 X 10,inch,2.94,5,3.004,0.326,0.214,12.3,4.92,2.05,1.22,0.809,0.643,,,
S4 X 9.5,inch,2.79,4,2.796,0.293,0.326,6.79,3.39,1.56,0.903,0.646,0.569,,,
S4 X 7.7,inch,2.26,4,2.663,0.293,0.193,6.08,3.04,1.64,0.764,0.574,0.581,,,
S3 X 7.5,inch,2.21,3,2.509,0.26,0.349,2.93,1.95,1.15,0.586,0.468,0.516,,,
S3 X 5.7,inch,1.67,3,2.33,0.26,0.17,2.52,1.68,1.23,0.455,0.39,0.522,,,
C15 X 50,inch,14.7,15,3.716,0.65,0.716,404,53.8,5.24,11,3.78,0.867,0.798,,
C15 X 40,inch,11.8,15,3.52,0.65,0.52,349,46.5,5.44,9.23,3.37,0.886,0.777,,
C15 X 33.9,inch,9.96,15,3.4,0.65,0.4,315,42,5.62,8.13,3.11,0.904,0.787,,
C12 X 30,inch,8.82,12,3.17,0.501,0.51,162,27,4.29,5.14,2.06,0.763,0.674,,
C12 X 25,inch,7.35,12,3.047,0.501,0.387,144,24.1,4.43,4.47,1.88,0.78,0.674,,
C12 X 20.7,inch,6.09,12,2.942,0.501,0.282,129,21.5,4.61,3.88,1.73,0.799,0.698,,
C10 X 30,inch,8.82,10,3.033,0.436,0.673,103,20.7,3.42,3.94,1.65,0.669,0.649,,
C10 X 25,inch,7.35,10,2.886,0.436,0.526,91.2,18.2,3.52,3.36,1.48,0.676,0.617,,
C10 X 20,inch,5.88,10,2.739,0.436,0.379,78.9,15.8,3.66,2.81,1.32,0.692,0.606,,
C10 X 15.3,inch,4.49,10,2.6,0.436,0.24,67.4,13.5,3.87,2.28,1.16,0.713,0.634,,
C9 X 20,inch,5.88,9,2.648,0.413,0.448,60.9,13.5,3.22,2.42,1.17,0.642,0.583,,
C9 X 15,inch,4.41,9,2.485,0.413,0.285,51,11.3,3.4,1.93,1.01,0.661,0.586,,
C9 X 13.4,inch,3.94,9,2.433,0.413,0.233,47.9,10.6,3.48,1.76,0.962,0.669,0.601,,
C8 X 18.75,inch,5.51,8,2.527,0.39,0.487,44,11,2.82,1.98,1.01,0.599,0.565,,
C8 X 13.75,inch,4.04,8,2.343,0.39,0.303,36.1,9.03,2.99,1.53,0.854,0.615,0.553,,
C8 X 11.5,inch,3.38,8,2.26,0.39,0.22,32.6,8.14,3.11,1.32,0.781,0.625,0.571,,
C7 X 12.25,inch,3.6,7,2.194,0.366,0.314,24.2,6.93,2.6,1.17,0.703,0.571,0.525,,
C7 X 9.8,inch,2.87,7,2.09,0.366,0.21,21.3,6.08,2.72,0.968,0.625,0.581,0.54,,
C6 X 13,inch,3.83,6,2.157,0.343,0.437,17.4,5.8,2.13,1.05,0.642,0.525,0.514,,
C6 X 10.5,inch,3.09,6,2.034,0.343,0.314,15.2,5.06,2.22,0.866,0.564,0.529,0.499,,
C6 X 8.2,inch,2.4,6,1.92,0.343,0.2,13.1,4.38,2.34,0.693,0.492,0.537,0.511,,
C5 X 9,inch,2.64,5,1.885,0.32,0.325,8.9,3.56,1.83,0.632,0.45,0.489,0.478,,
C5 X 6.7,inch,1.97,5,1.75,0.32,0.19,7.49,3,1.95,0.479,0.378,0.493,0.484,,
C4 X 7.25,inch,2.13,4,1.721,0.296,0.321,4.59,2.29,1.47,0.433,0.343,0.45,0.459,,
C4 X 5.4,inch,1.59,4,1.584,0.296,0.184,3.85,1.93,1.56,0.319,0.283,0.449,0.457,,
C3 X 6,inch,1.76,3,1.596,0.273,0.356,2.07,1.38,1.08,0.305,0.268,0.416,0.455,,
C3 X 5,inch,1.47,3,1.498,0.273,0.258,1.85,1.24,1.12,0.247,0.233,0.41,0.438,,
C3 X 4.1,inch,1.21,3,1.41,0.273,0.17,1.66,1.1,1.17,0.197,0.202,0.404,0.436,,
L8 X 8 X 1,inch,15,,,,,89,15.8,2.44,89,15.8,2.44,2.37,2.37,1.56
L8 X 8 X 3/4,inch,11.4,,,,,69.7,12.2,2.47,69.7,12.2,2.47,2.28,2.28,1.58
L8 X 8 X 1/2,inch,7.75,,,,,48.6,8.36,2.5,48.6,8.36,2.5,2.19,2.19,1.59
L6 X 6 X 1,inch,11,,,,,35.5,8.57,1.8,35.5,8.57,1.8,1.86,1.86,1.17
L6 X 6 X 3/4,inch,8.44,,,,,28.2,6.66,1.83,28.2,6.66,1.83,1.78,1.78,1.17
L6 X 6 X 5/8,inch,7.11,,,,,24.2,5.66,1.84,24.2,5.66,1.84,1.73,1.73,1.18
L6 X 6 X 1/2,inch,5.75,,,,,19.9,4.61,1.86,19.9,4.61,1.86,1.68,1.68,1.18
L6 X 6 X 3/8,inch,4.36,,,,,15.4,3.53,1.88,15.4,3.53,1.88,1.64,1.64,1.19
L5 X 5 X 3/4,inch,6.94,,,,,15.7,4.53,1.51,15.7,4.53,1.51,1.52,1.52,0.975
L5 X 5 X 5/8,inch,5.86,,,,,13.6,3.86,1.52,13.6,3.86,1.52,1.48,1.48,0.978
L5 X 5 X 1/2,inch,4.75,,,,,11.3,3.16,1.54,11.3,3.16,1.54,1.43,1.43,0.983
L5 X 5 X 3/8,inch,3.61,,,,,8.74,2.42,1.56,8.74,2.42,1.56,1.39,1.39,0.99
L4 X 4 X 3/4,inch,5.44,,,,,7.67,2.81,1.19,7.67,2.81,1.19,1.27,1.27,0.778
L4 X 4 X 5/8,inch,4.61,,,,,6.66,2.4,1.2,6.66,2.4,1.2,1.23,1.23,0.779
L4 X 4 X 1/2,inch,3.75,,,,,5.56,1.97,1.22,5.56,1.97,1.22,1.18,1.18,0.782
L4 X 4 X 3/8,inch,2.86,,,,,4.36,1.52,1.23,4.36,1.52,1.23,1.14,1.14,0.788
L4 X 4 X 1/4,inch,1.94,,,,,3.04,1.05,1.25,3.04,1.05,1.25,1.09,1.09,0.795
L3-1/2 X 3-1/2 X 1/2,inch,3.25,,,,,3.64,1.49,1.06,3.64,1.49,1.06,1.06,1.06,0.683
L3-1/2 X 3-1/2 X 3/8,inch,2.48,,,,,2.87,1.15,1.07,2.87,1.15,1.07,1.01,1.01,0.687
L3-1/2 X 3-1/2 X 1/4,inch,1.69,,,,,2.01,0.795,1.09,2.01,0.795,1.09,0.968,0.968,0.694
L3 X 3 X 1/2,inch,2.75,,,,,2.22,1.07,0.898,2.22,1.07,0.898,0.932,0.932,0.584
L3 X 3 X 3/8,inch,2.11,,,,,1.76,0.833,0.913,1.76,0.833,0.913,0.888,0.888,0.587
L3 X 3 X 1/4,inch,1.44,,,,,1.24,0.577,0.93,1.24,0.577,0.93,0.842,0.842,0.592
L2-1/2 X 2-1/2 X 1/2,inch,2.25,,,,,1.23,0.724,0.739,1.23,0.724,0.739,0.806,0.806,0.487
L2-1/2 X 2-1/2 X 3/8,inch,1.73,,,,,0.984,0.566,0.753,0.984,0.566,0.753,0.762,0.762,0.487
L2-1/2 X 2-1/2 X 1/4,inch,1.19,,,,,0.703,0.394,0.769,0.703,0.394,0.769,0.717,0.717,0.491
L2-1/2 X 2-1/2 X 3/16,inch,0.902,,,,,0.547,0.303,0.778,0.547,0.303,0.778,0.694,0.694,0.495
L2 X 2 X 3/8,inch,1.36,,,,,0.479,0.351,0.594,0.479,0.351,0.594,0.636,0.636,0.389
L2 X 2 X 1/4,inch,0.938,,,,,0.348,0.247,0.609,0.348,0.247,0.609,0.592,0.592,0.391
L2 X 2 X 1/8,inch,0.484,,,,,0.19,0.131,0.626,0.19,0.131,0.626,0.546,0.546,0.398
